URN,NOS Title,Skills extracted
LANEQ213,Care for horses after exercise,Thermal; Instruction; Food; Cleaning; Welfare
LANEQ223,Care for performance horses after strenuous work,Thermal; Instruction; Food; Cleaning; Welfare
LANEQ225,Care for racehorses after racing,Health check; Instruction; Welfare
LANEQ236,Assist with handling mares and foals,Age; Instruction; Welfare
LANEQ238,Prepare and care for horse harness,Instruction; Cleaning; Welfare
LANEQ239,"Prepare and care for horse-drawn vehicles, agricultural implements and related equipment",Instruction; Cleaning; Welfare
LANEQ240,Drive a single harness horse in an enclosed area,Instruction; Smooth; Welfare
LANEQ242,Work with harnessed horses in agricultural and land-based activities,Crop; Instruction; Welfare
LANEQ301,Develop and implement a horse rehabilitation/retraining plan,Muscle; Rehabilitation; Welfare
LANEQ302,Receive a horse and carry out an initial assessment,Promote; Rehabilitation; Mobility; Welfare
LANEQ303,Deliver basic health care treatments to horses,Medication prescription; Infectious disease; Instruction; Storage; Cleaning; Welfare
LANEQ305,Monitor and maintain stocks of feed and bedding for horses,Storage; Fault; Welfare
LANEQ306,Promote the health and wellbeing of horses,Abscess; Management; Promote; Nursing; First aid; Anatomy; Animal welfare legislation; Tetanus; Welfare; Physiology
LANEQ315,School racehorses,Age; Education; Welfare
LANEQ326,Prepare to lead a horse trek,Age; First aid; Welfare
LANEQ328,Care for the mare and foal during foaling,Instruction; Lighting; First aid; Welfare
LANEQ331,Maintain stud documentation,Book; Welfare; Vaccination
LANEQ334,"Care for polo ponies before, during and after matches",Player; Welfare; React
LANEQ406,Manage the breeding of horses for natural covering,Transporting; Infertility; Welfare
LANEQ412,Manage the collection of equine semen for future use,Semen collection; Infertility; Collection; Welfare
LANEQ413,Manage the storage and distribution of equine semen for external use,Storage; Packaging; Welfare
LANFAR10,Fit horseshoes,Parameter; Welfare; Alteration
LANFAR2,"Prepare, light and maintain the forge fire",Lighting; Forge; Storage
LANFAR8,Trim and dress hooves,Age; Horse riding; Welfare
LANFLR3,Identify and check the quality of incoming cut materials,Food; Unpacking; Packaging
LANFLR4,Monitor and maintain the quality of cut materials for sale,Food; Storage; Pest disease; Packaging
LANTW1,Identify tree species,Season; Age; Landscape; Plant specie
LANTW14,Prepare and maintain a safe working site for treework operations,Machinery; Environmental health and safety; Warning sign; Risk assessment
LANTW15,Process arisings from treework operations,Environmental health and safety; Storage; Risk assessment; Transport
LANTW17,"Prepare for and agree, emergency treework operations",Contingency plan; Traffic management; Environmental health and safety; Prioritise emergency; Warning sign; Emergency services
LANTW21,Remove branches from felled trees using a chainsaw,Season; Machinery; Risk assessment; Compression
LANTW22,Cross-cut timber using a chainsaw,Machinery; Dispatch; Stack; Risk assessment; Compression; Physiology
LANTW26,Use a pole-mounted tree pruner,Environmental legislation; Machinery; Hedge; Risk assessment; Compression; Thinning
LANTW3,Clear sites for planting,Machinery; Collection; Risk assessment
LANTW30,Carry out the aerial cutting of trees using free-fall techniques,Anchor; Instruction; Machinery; Thinning
LANTW32,Carry out the aerial cutting of trees using a crane,Arboriculture; Anchor; Instruction; Machinery; Risk assessment
LANTW34,Carry out tree and vegetation management in proximity to above-ground utilities,Management; Biology; Parameter; Instruction; Machinery; Environmental health and safety; Risk assessment; Thinning
LANTW37,Carry out tree and vegetation management in proximity to underground utilities,Management; Trench; Maximum; Biology; Parameter; Instruction; Machinery; Environmental health and safety; Risk assessment
LANTW5,Create an open drainage system,Interpret plan; Season; Machinery; Environmental health and safety; Tolerance; Plant specie; Drainage; Risk assessment
LANTW53,"Cut, process and extract coppice",Browsing; Management; Promote; Age; Machinery; Environmental health and safety; Sort; Extract coppice; Risk assessment; Schedule; Biodiversity
LANTW55,Build and maintain tools and devices used to process coppice and green wood products,Machinery; Environmental health and safety; Risk assessment; Fault
LANTW6,Maintain open drainage systems,Interpret plan; Season; Machinery; Environmental health and safety; Tolerance; Plant specie; Drainage; Risk assessment; Dig
LANTW60,Produce charcoal in a woodland,Lighting; Environmental health and safety; Target market; Risk assessment
LANTW62,Evaluate markets for the sale of forest and woodland products and services,Maximum; Sales; Cost
LANTW69,Forecast production of forest and woodland products and produce production plans,Crop; Breakage; Cost; Forecasting; Yield; Risk assessment; Thinning
LANTW77,Access trees by climbing to carry out arboricultural operations,Anchor; Inspection; Risk assessment; Climb tree
LSI SE03,Assist prospective job seekers to aspire to paid employment,Trial; Calculation; Fear
LSI YW07,Encourage young people to broaden their horizons to be effective citizens,Promote; Central; Civil law
LSI YW11,"Plan, prepare and facilitate activities with young people",
LSI YW13,Support young people in evaluating the impact of youth work activities,
LSI YW18,Explore with young people their wellbeing,Sexual health; Substance abuse; Storage
LSI YW19,Work with young people to  safeguard their own welfare,Promote; Sexual health; Substance abuse; Welfare
LSI YW21,Develop a culture and systems that promote inclusion and value diversity,Promote; Promote inclusion; Tolerance; Equity; Embed
LSI YW24,Evaluate and prioritise organisational requirements for youth work activities,Articulate; Capture; Youth activity; Strategic management
LSI YW25,Influence and develop youth work strategies,Show empathy; Strategic partnership; Forecasting
LSIAG28,Prepare and set up mediation,Promote; Risk assessment; Mediation
LSICD06,Get to know a community,Social justice; Community development; Empowerment; Data collection
LSICD08,Analyse and disseminate findings from community research,Comment; Social justice; Community development; Empowerment; Data collection
LSICLD1.2.1 V2,"Plan, prepare and facilitate community learning and development developmental group work",Group dynamic; Equity; Learning style; Listen actively
LSICLD1.3.3 V2,Engage with the local community using community learning and development processes,Promote; History; Equity
LSICLD3.1.1 V2,Communicate effectively and develop rapport with people through community learning and development processes,Equity; Listen actively; Cooperation; Body language
LSICLD4.1.1 V2,Evaluate and prioritise requirements for relevant community learning and development opportunities from your organisation,Articulate; Equity; Strategic management
LSICLG16,Manage breaks and holidays in the context of therapeutic work,
LSIFL203V2,Help to keep participants safe and secure,Universal; Instruction; Risk assessment; Fault
LSIFL304V2,Meet requirements for the protection and safety of participants in family learning programmes,Universal; Instruction; Inspection; Risk assessment; Emergency services
LSIFL307V2,Prepare and develop resources to support learning,Promote; Universal; Training; Instruction; Environmental protection; Cost; Simulation
LSIFL310V2,Work with families with complex needs and those who find services hard to reach,Universal; Service provision; Substance abuse; Hospital admission; Learning style
LSIFL401V2,"Develop inter-agency, cross-sector working",Promote; Universal; Initiative
LSIILARC6V2,Acquire internally generated content and records,Management; Promote; Capture; Acquisition; Storage; Schedule
LSIILARC8V2,Manage information quality,Management; Parameter; Advise customer
LSIILARE4V2,Provide appropriate environments and systems for physical collections and repositories,Management; Information systems; Storage; Collection
LSIILARF10V2,Present information in appropriate formats for customers,Management; Age; Health informatics
LSIILARF1V2,Develop strategy and policy for service provision,Management; Service provision; Market research; Collection; Exploitation
LSIILARF6V2,Provide enquiry and search services,Management; Swift; Outsourcing
LSIILARF8V2,Provide alerting services,Capture; Electronic resource; Health informatics
LSIILARG1V2,Develop and implement your organisation's strategy for facilitating lifelong learning,Management; Lifelong learning; Services sector; Vision
LSIILARG3,Provide learners with support to use ilt,Promote; Instruction; Learning theory
LSIILARG4,Develop and adapt ilt materials to support learning,Creativity; Material design; Instruction; Material plan; Learning style
LSILADD05,Develop and prepare resources for learning and development,Intellectual property; Patent; Training; Cost
LSILADD06,Manage learning and development in groups,Experiential learning; Instruction; Group dynamic; Acquisition
LSILADD13,Evaluate and improve learning and development provision,Management; Storage; Collection
