,Avg group similarity,NOS 1,NOS 2
Pair 339,0.945,"[lsiwwp303] ""303 ensure confidentiality whilst maintaining good practice in child protection."" (""lsiwwp303.pdf"", Current, Original)","[lsiwwp303v2] ""Ensure confidentiality whilst maintaining good practice in child protection"" (""lsiwwp303v2.pdf"", Current, Original)"
Pair 340,0.945,"[eusdsg3.46] ""Rectify and modify mechanical systems, equipment and components"" (""eusdsg3.46.pdf"", Current, Imported)","[summes29] ""Rectify and modify mechanical systems, equipment and components - legacy"" (""summes29l.pdf"", Legacy, Original)"
Pair 341,0.945,"[proff13] ""Prepare production furniture for finishing  "" (""proff13.pdf"", Current, Original)","[proffi206] ""Prepare to apply finishing processes to production furniture - legacy"" (""proffi206l.pdf"", Legacy, Original)"
Pair 342,0.945,"[sfsctv10] ""Maintain security of cctv control room and facilities"" (""sfsctv10.pdf"", Current, Original)","[sfs ctv 10l] ""Maintain security of cctv control room and facilities legacy"" (""sfsctv10l.pdf"", Legacy, Original)"
Pair 343,0.945,"[sfjba8] ""Contribute to the development of priorities and objectives for promoting community justice and social inclusion"" (""sfjba8.pdf"", Current, Original)","[sfjcjba8] ""Contribute to the development of priorities and objectives for promoting community justice and social inclusion"" (""sfjcjba8l.pdf"", Current, Original)"
Pair 344,0.945,"[proffi245] ""Survey a location for the placement of furniture components"" (""proffi245.pdf"", Current, Original)","[proffi408] ""Survey a location for the placement of kitchen, bedroom or bathroom furniture components"" (""proffi408.pdf"", Current, Original)"
Pair 345,0.945,"[eusepus049] ""Working efficiently and effectively in engineering"" (""eusepus049l.pdf"", Current, Imported)","[sempeo202] ""Working efficiently and effectively in engineering"" (""sempeo202.pdf"", Current, Original)"
Pair 346,0.945,"[skaa511] ""Develop, implement and review operational plans"" (""skaa511.pdf"", Current, Original)","[skamsala511] ""Develop, implement, and review operational plans for sport and active leisure"" (""skamsala511.pdf"", Current, Original)"
Pair 347,0.945,"[sumet08] ""Identify and rectify faults in electrical systems and equipment legacy"" (""sumet08l.pdf"", Legacy, Empty)","[sumet09] ""Maintain electrical systems and equipment legacy"" (""sumet09l.pdf"", Legacy, Empty)"
Pair 348,0.945,"[ppltt27] ""Sell multi-sector air travel"" (""ppltt27.pdf"", Current, Original)","[ppl tt27] ""Sell multi-sector air travel"" (""ppltt27l.pdf"", Current, Original)"
Pair 349,0.945,"[impft109k] ""Understand how to set up and manage facilities for the sensory assessment of food and drink"" (""impft109k.pdf"", Current, Original)","[impft109k] ""Understand how to set up and clear facilities for the sensory assessment of food and drink"" (""impft109kl.pdf"", Legacy, Original)"
Pair 350,0.945,"[sfjed4] ""Deliver evidence-based intervention programmes"" (""sfjed4.pdf"", Current, Original)","[sfj ed4 ] ""Deliver evidence-based intervention programmes"" (""sfjed4l.pdf"", Current, Original)"
Pair 351,0.945,"[cogmp5] ""Inspect and verify gas measurement systems"" (""cogmp5.pdf"", Current, Original)","[cogmp6] ""Inspect and verify liquid measurement systems"" (""cogmp6.pdf"", Current, Original)"
Pair 352,0.945,"[cfaturr5] ""Contribute to the resolution of industrial disputes in the workplace v2"" (""cfaturr5.pdf"", Current, Original)","[cfaur5] ""Contribute to the resolution of industrial disputes in the workplace"" (""cfaur5.pdf"", Current, Original)"
Pair 353,0.945,"[sembit407] ""Leading the creation of flexible production and manpower systems"" (""sembit407.pdf"", Current, Original)","[sembit7] ""Leading the creation of flexible production and manpower systems"" (""sembit7.pdf"", Current, Original)"
Pair 354,0.945,"[sfhgen117] ""Monitor, evaluate and improve processes for delivering health and wellbeing services to a population"" (""sfhgen117.pdf"", Current, Original)","[sfhmh57] ""Monitor, evaluate and improve processes for delivering mental health services to a population"" (""sfhmh57.pdf"", Current, Original)"
Pair 355,0.945,"[sfhgen125] ""Lead the implementation of inter-agency services for addressing health and wellbeing needs"" (""sfhgen125.pdf"", Current, Original)","[sfhgen126] ""Monitor, evaluate and improve inter-agency services for addressing health and wellbeing needs"" (""sfhgen126.pdf"", Current, Original)"
Pair 356,0.945,"[sembit31] ""Leading the process of hypothesis testing"" (""sembit31.pdf"", Current, Original)","[sembit431] ""Leading the process of hypothesis testing"" (""sembit431.pdf"", Current, Original)"
Pair 357,0.945,"[sembit34] ""Producing taguchi linear graphs"" (""sembit34.pdf"", Current, Original)","[sembit434] ""Producing taguchi linear graphs"" (""sembit434.pdf"", Current, Original)"
Pair 358,0.945,"[imirr05] ""Recover light vehicles using advanced winching techniques"" (""imirr05.pdf"", Current, Original)","[imirr07] ""Recover heavy vehicles using advanced winching techniques"" (""imirr07.pdf"", Current, Original)"
Pair 359,0.945,"[cogsbp14] ""Determine the carbon footprint for products and/or services in support of sustainable business practice"" (""cogsbp14.pdf"", Current, Original)","[cogsbp15] ""Determine the carbon footprint for an organisation in support of sustainable business practice"" (""cogsbp15.pdf"", Current, Original)"
Pair 360,0.945,"[promm15] ""Gain permission for mine extraction "" (""promm15.pdf"", Current, Original)","[proms12] ""Gain permissions for mine extraction"" (""proms12.pdf"", Current, Imported)"
Pair 361,0.945,"[eusdsg3.19] ""Apply environmental legislation, working practices and principles (mechanical services)"" (""eusdsg3.19.pdf"", Current, Imported)","[summes2] ""Apply environmental legislation, working practices and principles (mechanical services) - legacy"" (""summes2l.pdf"", Legacy, Original)"
Pair 362,0.945,"[semem3-80] ""Assisting in the installation of mechanical equipment"" (""semem380.pdf"", Current, Original)","[sememi2-47] ""Assisting in the installation of mechanical equipment"" (""sememi247.pdf"", Current, Original)"
Pair 363,0.945,"[sfhrt1] ""Prepare and maintain environments, materials and equipment for the routine design and manufacture of custom made devices"" (""sfhrt1.pdf"", Current, Original)","[sfhrt12] ""Prepare and maintain environments, materials and equipment for the non-routine design and manufacture of custom made devices"" (""sfhrt12.pdf"", Current, Original)"
Pair 364,0.945,"[eusdsg3.22] ""Oversee the work environment"" (""eusdsg3.22.pdf"", Current, Imported)","[summes5] ""Oversee the work environment - legacy"" (""summes5l.pdf"", Legacy, Original)"
Pair 365,0.94,"[ppl2fbs14] ""Serve food at table (formal dining)"" (""ppl2fbs14.pdf"", Current, Original)","[ppl2fbs15] ""Serve food at table (casual dining)"" (""ppl2fbs15.pdf"", Current, Original)"
Pair 366,0.94,"[fspaml3] ""Gather and communicate information about anti-money laundering and countering terrorist financing requirements in your organisation"" (""fspaml3.pdf"", Current, Original)","[fspaml3] ""Gather and communicate  information about anti-money laundering and countering terrorist financing requirements in your organisation "" (""gather-and-communicate--information-about-anti-money-laundering-and-countering-terrorist-financing-requirements-fspaml3.pdf"", Current, Original)"
Pair 367,0.94,"[semaut3102] ""Building engines for motorsport vehicles"" (""semaut3102.pdf"", Current, Original)","[semaut3141] ""Building prototype engines for test"" (""semaut3141.pdf"", Current, Original)"
Pair 368,0.94,"[semaut3105] ""Dressing engines for motorsport vehicles"" (""semaut3105.pdf"", Current, Original)","[semaut3144] ""Dressing prototype engines for test"" (""semaut3144.pdf"", Current, Original)"
Pair 369,0.94,"[sflitlo65] ""Process transport documentation for goods legacy"" (""sflitlo65l.pdf"", Legacy, Original)","[sflitlo66] ""Process financial documentation for goods legacy"" (""sflitlo66l.pdf"", Legacy, Original)"
Pair 370,0.94,"[cfas8.5l] ""Meet your customer’s after sales service needs - legacy"" (""cfas8.5l.pdf"", Legacy, Original)","[propam512] ""Meet your customer’s after sales service"" (""propam512.pdf"", Current, Original)"
Pair 371,0.94,"[sfhdt20] ""Design and manufacture conventional removable orthodontic appliances"" (""sfhdt20.pdf"", Current, Original)","[sfhdt21] ""Design and manufacture complex removable orthodontic appliances"" (""sfhdt21.pdf"", Current, Original)"
Pair 372,0.94,"[cfaturr11] ""Provide specialist advocacy services on behalf of union members v2"" (""cfaturr11.pdf"", Current, Original)","[cfaur10] ""Provide specialist advocacy services on behalf of union members"" (""cfaur10.pdf"", Current, Original)"
Pair 373,0.94,"[sfhdec4] ""Prepare re-usable medical devices for sterilisation"" (""sfhdec4.pdf"", Current, Original)","[sfhpcs21] ""Prepare equipment for processing intra-operative salvaged blood"" (""sfhpcs21.pdf"", Current, Original)"
Pair 374,0.94,"[eusdsg3.30] ""Decommission plumbing systems, equipment and components"" (""eusdsg3.30.pdf"", Current, Imported)","[summes13] ""Decommission plumbing systems, equipment and components - legacy"" (""summes13l.pdf"", Legacy, Original)"
Pair 375,0.94,"[sfsctv2] ""Arrange for the performance of cctv systems to be maintained"" (""sfsctv2.pdf"", Current, Original)","[sfs ctv 2l] ""Arrange for the performance of cctv systems to be maintained legacy"" (""sfsctv2l.pdf"", Legacy, Original)"
Pair 376,0.94,"[sfsctv5] ""Select, recruit and manage operational cctv staff"" (""sfsctv5.pdf"", Current, Original)","[sfs ctv 5l] ""Select, recruit and manage operational cctv staff legacy"" (""sfsctv5l.pdf"", Legacy, Original)"
Pair 377,0.94,"[lsiwwp309] ""309 work with parents to understand and meet their own needs."" (""lsiwwp309.pdf"", Current, Original)","[lsiwwp309v2] ""Work with parents to understand and meet their own needs"" (""lsiwwp309v2.pdf"", Current, Original)"
Pair 378,0.94,"[ecimpse09] ""Diagnose and determine the causes of faults in electrical plant and equipment"" (""ecimpse09.pdf"", Current, Original)","[ecimpsic16] ""Diagnose and determine the causes of faults in instrument and control systems"" (""ecimpsic16.pdf"", Current, Original)"
Pair 379,0.94,"[asto08] ""Measure and draft bills of quantities"" (""asto08.pdf"", Current, Original)","[astspm3o08] ""Measure and draft bills of quantities within a surveying environment"" (""astspm3o08.pdf"", Current, Original)"
Pair 380,0.94,"[impft145k] ""Principles of homogenisation in food technology"" (""impft145k.pdf"", Current, Original)","[impft145k] ""Principles of homogenisation in food technology"" (""impft145kl.pdf"", Legacy, Original)"
Pair 381,0.94,"[sembit27] ""Leading the application of six sigma metrics to a project"" (""sembit27.pdf"", Current, Original)","[sembit427] ""Leading the application of six sigma metrics to a project"" (""sembit427.pdf"", Current, Original)"
Pair 382,0.94,"[skabt09b19] ""Apply special effects)"" (""skabt09b19.pdf"", Current, Tailored)","[skabt35v2] ""Apply special effects"" (""skabt35v2.pdf"", Current, Tailored)"
Pair 383,0.94,"[impft126k] ""Principles of lipid biochemistry in food science"" (""impft126k.pdf"", Current, Original)","[impft126k] ""Principles of lipid biochemistry in food science"" (""impft126kl.pdf"", Legacy, Original)"
Pair 384,0.94,"[impft115k] ""Principles of appearance and texture in food technology"" (""impft115k.pdf"", Current, Original)","[impft115k] ""Principles of appearance and texture in food technology"" (""impft115kl.pdf"", Legacy, Original)"
Pair 385,0.94,"[semeng310] ""Implement quality control systems and procedures in an engineering environment"" (""semeng310.pdf"", Current, Original)","[semets3-51] ""Implementing quality control systems and procedures in an engineering environment"" (""semets351.pdf"", Current, Original)"
Pair 386,0.94,"[semfwe2-15] ""Restore rails to operational condition using an arc welding process"" (""semfwe215.pdf"", Current, Original)","[semfwe3-57] ""Restore rails to operational condition using an arc welding process"" (""semfwe357.pdf"", Current, Original)"
Pair 387,0.94,"[cfas7.6l] ""Handle objections and close sales - legacy"" (""cfas7.6l.pdf"", Legacy, Original)","[propam510] ""Handle objections and close sales"" (""propam510.pdf"", Current, Original)"
Pair 388,0.94,"[astsal18] ""Manage sales relationships with customers"" (""astsal18.pdf"", Current, Imported)","[cfamssns18] ""Manage sales relationships with customers"" (""cfamssns18.pdf"", Current, Original)"
Pair 389,0.94,"[sfjbc1] ""Improve environments and practices to promote community safety and social inclusion"" (""sfjbc1.pdf"", Current, Original)","[sfj bc1] ""Improve environments and practices to promote community safety and social inclusion"" (""sfjbc1l.pdf"", Current, Original)"
Pair 390,0.94,"[eusdsg3.33] ""Fit and fix cooling systems, equipment and components"" (""eusdsg3.33.pdf"", Current, Imported)","[summes16] ""Fit and fix cooling systems, equipment and components - legacy"" (""summes16l.pdf"", Legacy, Original)"
Pair 391,0.94,"[prompr43] ""Identify and prioritise business improvement opportunities"" (""prompr43.pdf"", Current, Original)","[sembit5-01] ""Identify and prioritise business improvement opportunities"" (""sembit501.pdf"", Current, Original)"
