,NOS 1,NOS 2
Pair 494,"('sksanim19', 'generate ideas for a media production', 'generate-ideas-for-a-media-production-sksanim19.pdf')","('sks p1', 'generate ideas for a film or television production', 'sks p1.pdf')"
Pair 495,"('gqafsb11', 'remove existing materials ready for installation', 'gqafsb11.pdf')","('profsb11', 'remove materials ready for installation legacy', 'profsb11l.pdf')"
Pair 496,"('gqafsb4', 'transport and handle installation equipment and materials', 'gqafsb4.pdf')","('profsb04', 'transport and handle installation equipment and materials legacy', 'profsb04l.pdf')"
Pair 497,"('gqafsb5', 'prepare the site for removal and installation activities', 'gqafsb5.pdf')","('profsb05', 'prepare the site for removal and installation activities legacy', 'profsb05l.pdf')"
Pair 498,"('gqafsb6', 'prepare and use access equipment to work at heights', 'gqafsb6.pdf')","('profsb06', 'prepare and use access equipment to work at heights legacy', 'profsb06l.pdf')"
Pair 499,"('gqafsb7', 'undertake preparatory work on existing materials', 'gqafsb7.pdf')","('profsb07', 'undertake preparatory work on existing materials legacy', 'profsb07l.pdf')"
Pair 500,"('impfp125', 'gut and clean fish by hand', 'gut-and-clean-fish-by-hand-impfp125.pdf')","('impfp111', 'shuck bivalves by hand', 'shuck-bivalves-by-hand-impfp111.pdf')"
Pair 501,"('sfs sys 17', 'handover electronic security systems', 'handover-electronic-security-systems-sfs sys 17.pdf')","('sfssys17', 'handover electronic security systems', 'sfssys17.pdf')"
Pair 502,"('imiaemei03', 'repair and overhaul motor vehicle electrical units', 'imiaemei03.pdf')","('imiaemei03', 'repair and overhaul motor vehicle electrical units', 'imiaemei03l.pdf')"
Pair 503,"('imiaemei10', 'conduct vehicle enhancement and installation consultations with customers in the motor vehicle environment', 'imiaemei10.pdf')","('imiaemei10', 'conduct vehicle enhancement and installation consultations with customers in the motor vehicle environment', 'imiaemei10l.pdf')"
Pair 504,"('imiag10', 'shape automotive glazing for installation in vehicles', 'imiag10.pdf')","('proag10', 'shape automotive glass for installation in vehicles', 'proag10.pdf')"
Pair 505,"('imiag2', 'working with others within the automotive glazing work environment', 'imiag2.pdf')","('proag3', 'working with others within the automotive glazing workplace', 'proag3.pdf')"
Pair 506,"('imiag3', 'preparing to carry out automotive glazing work ', 'imiag3.pdf')","('proag4', 'prepare for automotive glazing work ', 'proag4.pdf')"
Pair 507,"('imiag5', 'shape non-glass based automotive glazing materials ', 'imiag5.pdf')","('proag6', 'shape automotive glazing materials ', 'proag6.pdf')"
Pair 508,"('imiag6', 'removing and installing panoramic automotive glass in vehicles  ', 'imiag6.pdf')","('imiag7', 'removing and installing fixed automotive glass in vehicles  ', 'imiag7.pdf')"
Pair 509,"('imiarbbp05', 'remove, replace and/or refit motor vehicle body panels', 'imiarbbp05.pdf')","('imiarbbp05', 'remove and replace exterior motor vehicle body panels including permanently fixed components', 'imiarbbp05l.pdf')"
Pair 510,"('imiarbbp06', 'identify and rectify minor repairs to motor vehicle body panels', 'imiarbbp06.pdf')","('imiarbbp06', 'repair motor vehicle exterior body panels - legacy', 'imiarbbp06l.pdf')"
Pair 511,"('imiarbbp13', 'remove and replace motor vehicle body panels including permanently fixed panels', 'imiarbbp13.pdf')","('imiarbbp13', 'remove and replace motor vehicle body panels', 'imiarbbp13l.pdf')"
Pair 512,"('imiarbbp14', 'identify and rectify major repairs to motor vehicle body panels', 'imiarbbp14.pdf')","('imiarbbp14', 'repair motor vehicle body panels - legacy', 'imiarbbp14l.pdf')"
Pair 513,"('imiarbbp17', 'identify and rectify motor vehicle body misalignment', 'imiarbbp17.pdf')","('imiarbbp17', 'identify and rectify motor vehicle body misalignment', 'imiarbbp17l.pdf')"
Pair 514,"('imiarbg1', 'contribute to housekeeping in motor vehicle environments', 'imiarbg1l.pdf')","('semms01', 'contribute to housekeeping in motorsport environments', 'semms01.pdf')"
Pair 515,"('imiarbg2', 'reduce risks to health and safety in the motor vehicle environment', 'imiarbg2l.pdf')","('semms02', 'reduce risks to health and safety in motorsport environments', 'semms02.pdf')"
Pair 516,"('imiarbg3', 'maintain working relationships in the motor vehicle environment', 'imiarbg3l.pdf')","('semms03', 'maintain working relationships in the motorsport environment', 'semms03.pdf')"
Pair 517,"('imiarbg4', 'use of hand tools and equipment in motor vehicle engineering', 'imiarbg4l.pdf')","('semms04', 'use of hand tools and equipment in motorsport engineering', 'semms04.pdf')"
Pair 518,"('imiarbg8', 'identify and agree the motor vehicle customer needs', 'imiarbg8l.pdf')","('imirl7', 'customer service for renting and leasing motor vehicles', 'imirl7.pdf')"
Pair 519,"('imiarc08', 'prepare automotive panels to accept foundation and top coats', 'imiarc08.pdf')","('imiarpo4', 'prepare metal and pre-painted substrates in an automotive environment', 'imiarpo4.pdf')"
Pair 520,"('imiarpdrcr03', 'remove dents and creases from motor vehicles where access is difficult or restricted', 'imiarpdrcr03l.pdf')","('imiarpdrcr06', 'remove multiple dents and creases from motor vehicles where access is difficult or restricted', 'imiarpdrcr06l.pdf')"
Pair 521,"('imihr3', 'hire goods, equipment, vehicles or services to customers using electronic methods', 'imihr3.pdf')","('imihr4', 'hire goods, equipment, vehicles or services to customers in face to face settings', 'imihr4.pdf')"
Pair 522,"('imihv06', 'inspect commercial vehicles', 'imihv06.pdf')","('imimrhv06', 'inspect commercial motor vehicles - legacy', 'imimrhv06l.pdf')"
Pair 523,"('imilt06', 'inspect lift trucks - thorough examination (puwer and loler)', 'imilt06.pdf')","('imilt06', 'inspect lift trucks', 'imilt06l.pdf')"
Pair 524,"('imimc09', 'remove, store and fit non-welded, non-structural motorcycle body panels', 'imimc09.pdf')","('imimcbp03', 'remove and fit non welded non-structural motorcycle body panels', 'imimcbp03.pdf')"
Pair 525,"('imimet02', 'remove, renew and refit electrical components following accident damage ', 'imimet02.pdf')","('imimet03', 'remove, renew and refit trim components following accident damage', 'imimet03.pdf')"
Pair 526,"('imimet04', 'remove, renew and refit electromechanical and electronic components ', 'imimet04.pdf')","('imimet07', 'remove, renew and refit trim directly linked to safety systems ', 'imimet07.pdf')"
Pair 527,"('imimet06', 'strip vehicles to assess the extent and type of damage', 'imimet06.pdf')","('imimet06', 'strip vehicles to assess the extent and type of damage legacy', 'imimet06l.pdf')"
Pair 528,"('imimet08', 'handle automotive refrigerants ', 'imimet08.pdf')","('imimet08', 'handle automotive refrigerants legacy', 'imimet08l.pdf')"
Pair 529,"('imirr04', 'remove and transport light vehicles', 'imirr04.pdf')","('imivr06', 'remove and transport heavy vehicles', 'imivr06l.pdf')"
Pair 530,"('imirr05', 'recover light vehicles using advanced winching techniques', 'imirr05.pdf')","('imirr07', 'recover heavy vehicles using advanced winching techniques', 'imirr07.pdf')"
Pair 531,"('imivf07', 'carry out light vehicle four wheel alignment', 'imivf07.pdf')","('imivf07', 'carry out light vehicle four wheel alignment', 'imivf07l.pdf')"
Pair 532,"('imivf08', 'inspect and replace light vehicle clutches', 'imivf08.pdf')","('imivf08', 'inspect and replace light vehicle clutches', 'imivf08l.pdf')"
Pair 533,"('imivf09', 'inspect and replace light vehicle exhaust components', 'imivf09.pdf')","('imivf09', 'inspect and replace light vehicle exhaust components', 'imivf09l.pdf')"
Pair 534,"('imivf13', 'safe use of oxyacetylene in automotive applications', 'imivf13.pdf')","('imivf13', 'safe use of oxyacetylene in automotive applications', 'imivf13l.pdf')"
Pair 535,"('imivf32', 'monitor and solve customer service problems ', 'imivf32.pdf')","('imivf32', 'monitor and solve customer service problems', 'imivf32l.pdf')"
Pair 536,"('imivf44', 'receive and store automotive stock', 'imivf44.pdf')","('imivf44', 'receive and store automotive stock', 'imivf44l.pdf')"
Pair 537,"('imivf45', 'co-ordinate the receipt and storage of automotive parts', 'imivf45.pdf')","('imivf45', 'co-ordinate the receipt and storage of automotive parts', 'imivf45l.pdf')"
Pair 538,"('imivs11', 'appraising vehicles for part exchange', 'imivs11l.pdf')","('imivs12', 'valuing vehicles for part exchange', 'imivs12l.pdf')"
Pair 539,"('imivv1', 'exterior motor vehicle valet', 'imivv1.pdf')","('imivv2', 'interior motor vehicle valet', 'imivv2.pdf')"
Pair 540,"('impab101', 'control the proving of dough products in automated operations', 'impab101.pdf')","('impab104', 'control the division, moulding and shaping of fermented dough in automated operations', 'impab104.pdf')"
Pair 541,"('impab107', 'control the cooling of oven-baked dough products in automated operations', 'impab107.pdf')","('impab111', 'control the freezing of dough products in automated operations', 'impab111.pdf')"
Pair 542,"('impcb114', 'oven bake dough products in bakery operations', 'impcb114.pdf')","('impcb206', 'oven bake flour confectionery in bakery operations', 'impcb206.pdf')"
Pair 543,"('impcb124', 'design and develop specialist individual dough- based products', 'impcb124.pdf')","('impcb215', 'design and develop specialist individual flour confectionery products', 'impcb215.pdf')"
Pair 544,"('impcb125', 'evaluate specialist individual dough-based products', 'impcb125.pdf')","('impcb216', 'evaluate specialist individual flour confectionery products', 'impcb216.pdf')"
Pair 545,"('impcb126', 'produce specialist individual dough-based products', 'impcb126.pdf')","('impcb217', 'produce specialist individual flour confectionery products', 'impcb217.pdf')"
Pair 546,"('impcb126sv1', 'produce specialist individual dough based products', 'impcb126sv1.pdf')","('impcb217sv1', 'produce specialist individual flour confectionery', 'impcb217sv1.pdf')"
Pair 547,"('impcb127sv1', 'batch produce advanced craft fermented dough products', 'impcb127sv1.pdf')","('impcb129sv1', 'batch produce advanced craft non-fermented dough products', 'impcb129sv1.pdf')"
Pair 548,"('impdt107', 'operate and monitor a steeping process', 'impdt107.pdf')","('impdt110', 'operate and monitor a grain cleaning process', 'impdt110.pdf')"
Pair 549,"('impdt111', 'operate and monitor a distillery blending process', 'impdt111.pdf')","('impdt112', 'operate and monitor a distillery filtration process', 'impdt112.pdf')"
Pair 550,"('impdy102', 'control processing to produce uht milks', 'impdy102.pdf')","('impdy103', 'control processing to produce extended shelf life (esl) milks', 'impdy103.pdf')"
Pair 551,"('impdy104', 'control processing to produce cream for retail packs', 'impdy104.pdf')","('impdy106', 'control processing to produce filtered dairy products', 'impdy106.pdf')"
Pair 552,"('impdy113kv1', 'understand how to produce cheese legacy', 'impdy113kv1l.pdf')","('impdy121kv1', 'understand how to produce curds and whey', 'impdy121kv1.pdf')"
Pair 553,"('impdy128kv1', 'understand how to carry out cheese pressing operations legacy', 'impdy128kv1l.pdf')","('impdy140kv1', 'understand how to bandage cheese legacy', 'impdy140kv1l.pdf')"
Pair 554,"('impem117s', 'carry out fault diagnosis on engineered systems within food and drink operations', 'impem117s.pdf')","('impem135s', 'carry out fault diagnosis on services and systems for food and drink operations', 'impem135s.pdf')"
Pair 555,"('impem118k', 'understand how to carry out fault diagnosis on engineered systems within food and drink operations', 'impem118k.pdf')","('impem136k', 'understand how to carry out fault diagnosis on services and systems for food and drink operations', 'impem136k.pdf')"
Pair 556,"('impem130k', 'understand how to assist in the installation of equipment to produce an engineered system in food and drink operations', 'impem130k.pdf')","('impem160k', 'understand how to assist in the installation of engineering services equipment used in food and drink operations', 'impem160k.pdf')"
Pair 557,"('impem153s', 'maintain instrumentation and control systems used in food and drink operations', 'impem153s.pdf')","('impem167s', 'test and calibrate instrumentation and control equipment and circuits used in food and drink operations', 'impem167s.pdf')"
